time,x0,x1,x2
0.0,0.999902462,1.64381452e-05,8.10998717e-05
0.01,0.9999024404609325,1.643267200471117e-05,8.112688396327962e-05
0.02,0.9999024189325721,1.6427206075064938e-05,8.115387825306646e-05
0.03,0.9999023974148943,1.64217474107639e-05,8.118085459528557e-05
0.04,0.9999023759078853,1.6416295994569133e-05,8.120781302032782e-05
0.05,0.9999023544115315,1.6410851809577166e-05,8.12347535591153e-05
0.06,0.9999023329258201,1.64054148390538e-05,8.126167624109605e-05
0.07,0.999902311450738,1.6399985066266506e-05,8.1288581095813e-05
0.08,0.999902289986273,1.6394562474587224e-05,8.131546815266888e-05
0.09,0.9999022685324117,1.638914704735748e-05,8.1342337441131e-05
0.1,0.9999022470891417,1.638373876809525e-05,8.136918899043242e-05
0.11,0.99990222565645,1.637833762025565e-05,8.139602282988127e-05
0.12,0.9999022042343241,1.6372943587430757e-05,8.142283898860736e-05
0.13,0.9999021828227512,1.6367556653342854e-05,8.144963749550963e-05
0.14,0.999902161421719,1.6362176801586836e-05,8.147641837969848e-05
0.15,0.9999021400312141,1.6356804015768037e-05,8.150318167028044e-05
0.16,0.9999021186512244,1.6351438279609826e-05,8.152992739619102e-05
0.17,0.9999020972817371,1.6346079576916914e-05,8.155665558626455e-05
0.18,0.9999020759227394,1.6340727891785914e-05,8.158336626904655e-05
0.19,0.9999020545742188,1.6335383208071536e-05,8.161005947326925e-05
0.2,0.9999020332361629,1.633004550981278e-05,8.163673522747198e-05
0.21,0.9999020119085589,1.632471478111918e-05,8.166339356010244e-05
0.22,0.9999019905913945,1.6319391005984823e-05,8.169003449961379e-05
0.23,0.9999019692846572,1.631407416836505e-05,8.171665807442453e-05
0.24,0.9999019479883348,1.6308764252625798e-05,8.174326431268427e-05
0.25,0.9999019267024146,1.63034612430332e-05,8.17698532425398e-05
0.26,0.9999019054268842,1.629816512390984e-05,8.179642489205377e-05
0.27,0.9999018841617311,1.629287587950873e-05,8.18229792894445e-05
0.28,0.9999018629069432,1.628759349424765e-05,8.184951646263982e-05
